"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000024357",1081.38816749036,0.190650571591418,0.0583209801076616,3.26898778517566,0.00107932960851734,0.238360336002923,"Sil1"
"ENSMUSG00000022150",747.358726946934,0.244343330157782,0.0747862494601326,3.26722267691787,0.00108608216591457,0.238360336002923,"Dab2"
"ENSMUSG00000097350",336.77216767283,0.257899884342482,0.0789894941812778,3.26498969281423,0.00109468059896675,0.238360336002923,"4732491K20Rik"
"ENSMUSG00000028487",16.2107632990641,1.59762378337962,0.489898884057631,3.26112966444658,0.00110969282916157,0.238851815159535,"Bnc2"
"ENSMUSG00000022661",9339.23554808616,0.103150099618558,0.0317200292060917,3.2518916974625,0.00114639694913968,0.243948059881702,"Cd200"
"ENSMUSG00000063317",13207.1403439183,-0.148614653996252,0.0458337290309678,-3.24247354815576,0.00118496947710674,0.249322903688773,"Usp31"
"ENSMUSG00000021947",854.938337960248,0.208084191921659,0.0644504766470036,3.22859042705519,0.00124401921699293,0.257953206914799,"Cryl1"
"ENSMUSG00000025453",1726.048060469,-0.287866071121739,0.0892962511357007,-3.22371955665057,0.00126537255042153,0.257953206914799,"Nnt"
"ENSMUSG00000032491",56.1922544283743,0.652773133254744,0.202518233832855,3.22328079255076,0.00126731256200798,0.257953206914799,"Nradd"
"ENSMUSG00000067724",6.92535487431136,-3.15519598696104,0.981717703001165,-3.21395445688249,0.00130920437148542,0.263614635058452,"Gbx1"
"ENSMUSG00000038007",567.67887264712,-0.312477160799499,0.0973589592800331,-3.20953678131175,0.00132949035558329,0.264851451049497,"Acer2"
"ENSMUSG00000107319",6.13243700174115,2.17942302012437,0.679756354646066,3.20618263474587,0.00134508587551874,NA,"Gm42670"
"ENSMUSG00000045962",18851.0045261591,-0.126187275884173,0.0394776469412034,-3.19642343608047,0.0013914274899843,0.274272328183641,"Wnk1"
"ENSMUSG00000031647",5916.6794227108,-0.120988153099498,0.0379440692259404,-3.18859193459368,0.00142967540344174,0.278876058383854,"Mfap3l"
"ENSMUSG00000054474",226.256344135891,0.337897508040965,0.106594668633253,3.1699287813683,0.00152476304920587,0.290644349614404,"Thnsl2"
"ENSMUSG00000059003",19059.3447844509,-0.131708015082923,0.0415967830107321,-3.16630290974526,0.00154389930181453,0.290644349614404,"Grin2a"
"ENSMUSG00000021198",8006.09004856562,-0.137027739719896,0.0432976557264519,-3.16478426882086,0.00155197975122869,0.290644349614404,"Unc79"
"ENSMUSG00000038957",1732.5252338229,0.127688679698873,0.0403804011133241,3.16214490639967,0.0015661161058795,0.290644349614404,"Edc3"
"ENSMUSG00000082154",31.9023273495177,1.18011900434319,0.373415715882978,3.16033566383966,0.00157587474899179,0.290644349614404,"Gm16464"
"ENSMUSG00000037697",5924.50345318629,-0.111135379943482,0.0351805914940796,-3.15899691345963,0.00158313167044052,0.290644349614404,"Ddhd1"
"ENSMUSG00000018809",918.352337927135,0.18328158215212,0.0581250233980193,3.15323025157467,0.00161474387459576,0.292047693965026,"Smyd4"
"ENSMUSG00000030235",3975.3408840219,-0.137122611412796,0.0435087880858551,-3.15160723719112,0.00162374525629929,0.292047693965026,"Slco1c1"
"ENSMUSG00000021340",2084.42415915884,-0.16300500321965,0.0517622185523019,-3.14911160646922,0.00163767638053516,0.292047693965026,"Gpld1"
